PolicyNumber,DayOfWeek,WeekOfMonth,Month,Year,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,AccidentArea,NumberOfCars,Fault,PoliceReportFiled,WitnessPresent,Sex,Age,AgeOfPolicyHolder,MaritalStatus,DriverRating,Make,VehicleCategory,VehiclePrice,AgeOfVehicle,BasePolicy,PolicyType,RepNumber,AgentType,Deductible,Days_Policy_Accident,Days_Policy_Claim,NumberOfSuppliments,AddressChange_Claim,PastNumberOfClaims,FraudFound_P
11285,Sunday,5,Oct,1995,Monday,Oct,5,Urban,1 vehicle,Policy Holder,No,No,Female,26,31 to 35,Married,3,Mazda,Sedan,20000 to 29000,5 years,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,none,1 year,none,0
11286,Thursday,4,Nov,1995,Thursday,Nov,4,Rural,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Single,3,Chevrolet,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,none,no change,none,0
11287,Thursday,1,Apr,1995,Wednesday,Apr,3,Urban,1 vehicle,Third Party,No,No,Male,47,41 to 50,Married,3,Toyota,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,none,no change,2 to 4,0
11288,Monday,4,Jun,1995,Monday,Jul,1,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,4,Toyota,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
11289,Friday,1,Dec,1995,Monday,Dec,1,Urban,1 vehicle,Policy Holder,No,No,Female,30,31 to 35,Single,4,Chevrolet,Sedan,more than 69000,6 years,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,3 to 5,no change,1,0
11290,Tuesday,1,Apr,1995,Thursday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Male,48,41 to 50,Married,1,Pontiac,Utility,more than 69000,7 years,All Perils,Utility - All Perils,6,External,400,more than 30,more than 30,none,no change,1,1
11291,Sunday,1,Dec,1995,Tuesday,Dec,1,Urban,1 vehicle,Policy Holder,No,No,Male,65,51 to 65,Married,1,Mazda,Sedan,less than 20000,7 years,Collision,Sedan - Collision,8,External,400,more than 30,more than 30,1 to 2,no change,1,0
11292,Tuesday,3,Mar,1995,Thursday,Apr,2,Urban,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Single,2,Mazda,Sedan,30000 to 39000,6 years,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,none,no change,1,0
11293,Thursday,3,May,1995,Friday,May,4,Urban,1 vehicle,Third Party,No,No,Male,45,36 to 40,Single,4,Toyota,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11294,Tuesday,3,May,1995,Wednesday,May,3,Rural,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Single,2,Honda,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11295,Sunday,1,Jun,1995,Wednesday,Jun,3,Urban,1 vehicle,Third Party,No,No,Male,22,26 to 30,Single,2,Mazda,Sedan,20000 to 29000,4 years,All Perils,Sedan - All Perils,8,External,400,more than 30,more than 30,none,no change,1,0
11296,Tuesday,4,Jul,1995,Monday,Sep,1,Rural,1 vehicle,Policy Holder,No,No,Male,36,36 to 40,Married,1,Chevrolet,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,none,no change,2 to 4,0
11297,Wednesday,1,Apr,1995,Wednesday,May,1,Rural,1 vehicle,Policy Holder,No,No,Male,54,41 to 50,Married,2,Chevrolet,Sedan,more than 69000,more than 7,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,1 to 2,no change,1,1
11298,Sunday,3,Oct,1995,Monday,Oct,3,Urban,1 vehicle,Policy Holder,No,No,Male,46,41 to 50,Married,2,Pontiac,Sport,less than 20000,more than 7,Liability,Sedan - Liability,9,External,400,more than 30,more than 30,1 to 2,no change,1,0
11299,Monday,2,Nov,1995,Wednesday,Nov,3,Urban,2 vehicles,Third Party,No,No,Male,48,41 to 50,Married,3,Pontiac,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,none,4 to 8 years,2 to 4,0
11300,Tuesday,3,Dec,1995,Wednesday,Dec,4,Urban,1 vehicle,Policy Holder,No,No,Male,34,31 to 35,Married,4,Toyota,Sedan,less than 20000,4 years,All Perils,Sedan - All Perils,10,External,400,more than 30,more than 30,none,no change,none,0
11301,Monday,3,Dec,1995,Monday,Jan,5,Rural,1 vehicle,Third Party,No,No,Male,31,31 to 35,Single,2,Pontiac,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,9,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11302,Friday,4,Apr,1995,Friday,Apr,4,Urban,1 vehicle,Policy Holder,No,No,Male,45,36 to 40,Married,1,Chevrolet,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11303,Sunday,4,Apr,1995,Tuesday,Apr,4,Urban,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Single,4,Pontiac,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,11,External,400,more than 30,more than 30,1 to 2,no change,none,0
11304,Tuesday,2,May,1995,Thursday,May,2,Urban,1 vehicle,Third Party,No,No,Male,26,31 to 35,Married,2,Pontiac,Sedan,less than 20000,6 years,All Perils,Sedan - All Perils,8,External,400,more than 30,more than 30,none,no change,2 to 4,0
11305,Friday,2,Jun,1995,Friday,Jun,3,Urban,1 vehicle,Policy Holder,No,No,Male,58,51 to 65,Married,1,Chevrolet,Sport,40000 to 59000,more than 7,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,none,no change,2 to 4,0
11306,Wednesday,1,Apr,1995,Friday,Apr,5,Urban,1 vehicle,Third Party,No,No,Male,28,31 to 35,Married,3,Accura,Sedan,30000 to 39000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,2 to 4,0
11307,Thursday,2,Sep,1995,Monday,Oct,1,Urban,1 vehicle,Policy Holder,No,No,Male,48,41 to 50,Married,2,Pontiac,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,7,Internal,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
11308,Thursday,2,Sep,1995,Thursday,Sep,2,Urban,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Married,4,Chevrolet,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,none,no change,more than 4,0
11309,Friday,5,Sep,1995,Tuesday,Oct,1,Urban,1 vehicle,Third Party,No,No,Female,63,51 to 65,Married,4,Toyota,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
11310,Tuesday,2,Oct,1995,Tuesday,Oct,2,Urban,1 vehicle,Policy Holder,No,No,Male,31,31 to 35,Married,1,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,none,no change,none,0
11311,Sunday,3,Oct,1995,Monday,Oct,3,Urban,1 vehicle,Third Party,No,No,Male,62,51 to 65,Married,1,Honda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,1 to 2,no change,none,0
11312,Wednesday,1,Apr,1995,Tuesday,Apr,2,Urban,1 vehicle,Third Party,No,No,Male,49,41 to 50,Married,2,Chevrolet,Sedan,more than 69000,more than 7,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,none,no change,1,0
11313,Wednesday,1,Apr,1995,Thursday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Male,33,31 to 35,Married,3,Chevrolet,Sedan,more than 69000,7 years,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,none,no change,1,1
11314,Saturday,4,Mar,1995,Monday,May,4,Urban,1 vehicle,Third Party,No,No,Male,37,36 to 40,Single,1,Toyota,Sedan,less than 20000,7 years,All Perils,Sedan - All Perils,11,External,400,more than 30,more than 30,none,no change,1,0
11315,Sunday,3,Mar,1995,Tuesday,Mar,4,Urban,1 vehicle,Policy Holder,No,No,Male,50,41 to 50,Married,3,Pontiac,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,more than 5,no change,none,0
11316,Thursday,1,Mar,1995,Friday,Mar,1,Urban,1 vehicle,Policy Holder,No,No,Female,50,41 to 50,Married,3,Pontiac,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,none,no change,2 to 4,0
11317,Wednesday,1,Jul,1995,Wednesday,Jul,1,Urban,3 to 4,Policy Holder,No,No,Male,22,26 to 30,Married,2,Honda,Sport,more than 69000,5 years,Collision,Sport - Collision,10,External,400,more than 30,more than 30,none,no change,none,0
11318,Sunday,2,Aug,1995,Monday,Aug,2,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,2,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,none,no change,more than 4,0
11319,Monday,4,Jul,1995,Monday,Jul,4,Urban,1 vehicle,Third Party,No,No,Male,28,31 to 35,Married,2,Honda,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,14,External,400,more than 30,more than 30,none,no change,1,0
11320,Thursday,3,Dec,1995,Friday,Dec,3,Urban,2 vehicles,Policy Holder,No,No,Male,49,41 to 50,Single,3,VW,Sedan,more than 69000,more than 7,All Perils,Sedan - All Perils,11,External,400,more than 30,more than 30,3 to 5,4 to 8 years,1,0
11321,Friday,3,Dec,1995,Monday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,23,26 to 30,Single,4,Honda,Sport,20000 to 29000,3 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11322,Thursday,1,Mar,1995,Monday,Mar,1,Urban,1 vehicle,Policy Holder,No,No,Male,65,51 to 65,Married,2,Pontiac,Sedan,less than 20000,6 years,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,none,no change,none,0
11323,Wednesday,5,Aug,1995,Wednesday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,4,Chevrolet,Utility,more than 69000,7 years,All Perils,Utility - All Perils,12,External,500,more than 30,more than 30,1 to 2,2 to 3 years,1,0
11324,Friday,1,Sep,1995,Friday,Sep,1,Urban,1 vehicle,Policy Holder,No,No,Female,39,36 to 40,Married,2,Toyota,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,9,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11325,Wednesday,4,Nov,1995,Tuesday,Nov,5,Urban,1 vehicle,Policy Holder,No,No,Male,74,over 65,Married,2,Toyota,Sedan,less than 20000,more than 7,All Perils,Sedan - All Perils,15,External,400,more than 30,more than 30,none,no change,none,0
11326,Thursday,2,Nov,1995,Thursday,Nov,2,Urban,1 vehicle,Third Party,No,No,Male,45,36 to 40,Married,1,Chevrolet,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11327,Friday,3,Dec,1995,Wednesday,Dec,3,Urban,1 vehicle,Third Party,No,No,Male,23,26 to 30,Single,2,Honda,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,none,no change,none,0
11328,Tuesday,2,Dec,1995,Tuesday,Dec,2,Urban,1 vehicle,Policy Holder,No,No,Female,34,31 to 35,Single,1,Honda,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,none,no change,2 to 4,0
11329,Tuesday,2,Dec,1995,Wednesday,Dec,2,Urban,1 vehicle,Policy Holder,No,No,Male,36,36 to 40,Married,1,Chevrolet,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11330,Sunday,2,Dec,1995,Monday,Dec,2,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Married,3,Toyota,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,3 to 5,no change,1,0
11331,Wednesday,1,Apr,1995,Thursday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Male,16,18 to 20,Single,2,Honda,Sport,more than 69000,4 years,Collision,Sport - Collision,1,External,400,more than 30,more than 30,none,no change,2 to 4,1
11332,Monday,1,Dec,1995,Wednesday,Dec,1,Rural,1 vehicle,Third Party,No,No,Male,60,51 to 65,Married,4,Chevrolet,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,9,External,400,more than 30,more than 30,more than 5,no change,none,0
11333,Tuesday,5,Nov,1995,Friday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,54,41 to 50,Married,4,Pontiac,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,1 to 2,no change,none,0
11334,Friday,4,Nov,1995,Friday,Dec,1,Urban,1 vehicle,Third Party,No,No,Male,24,26 to 30,Single,2,Honda,Sedan,20000 to 29000,5 years,All Perils,Sedan - All Perils,14,External,400,more than 30,more than 30,more than 5,no change,none,0
11335,Tuesday,4,Sep,1995,Wednesday,Sep,4,Urban,1 vehicle,Policy Holder,No,No,Male,57,51 to 65,Married,2,Toyota,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11336,Tuesday,3,Apr,1995,Tuesday,Apr,3,Urban,1 vehicle,Policy Holder,No,No,Male,69,over 65,Married,4,Pontiac,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,4,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
11337,Monday,2,Dec,1995,Wednesday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,50,41 to 50,Married,3,Accura,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,6,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
11338,Wednesday,3,Dec,1996,Monday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,52,41 to 50,Married,4,VW,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,11,External,400,more than 30,more than 30,none,no change,none,0
11339,Friday,1,Dec,1996,Friday,Dec,2,Urban,1 vehicle,Policy Holder,No,No,Male,63,51 to 65,Married,1,Pontiac,Utility,40000 to 59000,more than 7,All Perils,Utility - All Perils,10,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11340,Friday,1,Dec,1996,Monday,Dec,3,Urban,1 vehicle,Third Party,No,No,Male,37,36 to 40,Married,4,Honda,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,1,0
11341,Sunday,1,Sep,1996,Tuesday,Sep,1,Urban,2 vehicles,Policy Holder,No,No,Male,62,51 to 65,Married,3,Toyota,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,none,4 to 8 years,none,0
11342,Thursday,4,Jul,1996,Wednesday,Jul,4,Urban,1 vehicle,Policy Holder,No,No,Female,40,36 to 40,Married,2,Toyota,Sport,more than 69000,6 years,Liability,Sedan - Liability,4,External,400,more than 30,more than 30,none,no change,more than 4,0
11343,Thursday,1,Apr,1996,Monday,Apr,2,Urban,1 vehicle,Third Party,No,No,Male,32,31 to 35,Single,2,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
11344,Wednesday,1,May,1996,Friday,May,2,Rural,1 vehicle,Policy Holder,No,No,Male,62,51 to 65,Married,3,Chevrolet,Utility,more than 69000,more than 7,Collision,Utility - Collision,16,External,400,more than 30,more than 30,more than 5,no change,none,0
11345,Thursday,1,Apr,1996,Tuesday,Apr,2,Urban,1 vehicle,Policy Holder,No,No,Male,43,36 to 40,Married,1,Pontiac,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,more than 5,no change,none,1
11346,Wednesday,5,Dec,1996,Friday,Mar,1,Urban,1 vehicle,Policy Holder,No,No,Female,39,36 to 40,Married,4,Honda,Sedan,less than 20000,6 years,All Perils,Sedan - All Perils,3,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
11347,Tuesday,3,Sep,1996,Tuesday,Oct,1,Rural,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Married,1,Mazda,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,11,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11348,Monday,1,Sep,1996,Tuesday,Sep,3,Urban,1 vehicle,Policy Holder,No,No,Female,33,31 to 35,Single,2,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,2,External,400,more than 30,more than 30,none,no change,1,0
11349,Thursday,1,Apr,1996,Friday,Apr,2,Urban,1 vehicle,Policy Holder,No,No,Male,48,41 to 50,Married,4,Toyota,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,none,no change,none,1
11350,Monday,4,Aug,1996,Tuesday,Aug,4,Urban,1 vehicle,Third Party,No,No,Male,58,51 to 65,Married,3,Pontiac,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11351,Monday,4,Aug,1996,Tuesday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,52,41 to 50,Married,3,Chevrolet,Sport,more than 69000,7 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,none,no change,1,0
11352,Friday,3,Aug,1996,Friday,Aug,3,Urban,1 vehicle,Policy Holder,No,No,Male,45,36 to 40,Married,1,Toyota,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11353,Sunday,2,Jul,1996,Monday,Jul,2,Urban,1 vehicle,Policy Holder,No,No,Male,22,26 to 30,Single,4,Honda,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,14,External,400,more than 30,more than 30,1 to 2,no change,1,0
11354,Monday,1,May,1996,Tuesday,May,3,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Single,3,Chevrolet,Sport,more than 69000,6 years,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
11355,Sunday,3,Apr,1996,Monday,Apr,3,Urban,1 vehicle,Policy Holder,No,No,Male,57,51 to 65,Married,4,Chevrolet,Sport,40000 to 59000,more than 7,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11356,Wednesday,4,Feb,1996,Wednesday,Feb,4,Rural,1 vehicle,Third Party,No,No,Male,40,36 to 40,Single,4,Toyota,Sedan,more than 69000,6 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,3 to 5,no change,none,0
11357,Thursday,4,Feb,1996,Tuesday,Feb,5,Rural,1 vehicle,Third Party,No,No,Female,38,36 to 40,Married,1,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,11,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11358,Thursday,2,Dec,1996,Tuesday,Dec,2,Urban,3 to 4,Policy Holder,No,No,Female,35,31 to 35,Single,4,Chevrolet,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,1 to 2,no change,none,0
11359,Wednesday,2,Dec,1996,Friday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,52,41 to 50,Married,3,Nisson,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,1,0
11360,Thursday,1,Apr,1996,Monday,Apr,2,Urban,1 vehicle,Third Party,No,No,Male,41,36 to 40,Married,3,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,14,Internal,400,more than 30,more than 30,none,no change,2 to 4,0
11361,Monday,1,Dec,1996,Wednesday,Dec,2,Urban,1 vehicle,Third Party,Yes,No,Male,33,31 to 35,Single,1,Honda,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,none,no change,2 to 4,0
11362,Tuesday,5,Nov,1996,Friday,Dec,2,Urban,2 vehicles,Policy Holder,No,No,Male,63,51 to 65,Married,1,Chevrolet,Sport,more than 69000,more than 7,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,none,4 to 8 years,2 to 4,0
11363,Friday,2,Apr,1996,Wednesday,May,1,Urban,1 vehicle,Policy Holder,No,No,Male,64,51 to 65,Married,2,Chevrolet,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,13,External,400,more than 30,more than 30,1 to 2,no change,more than 4,1
11364,Wednesday,4,Oct,1996,Thursday,Oct,4,Urban,1 vehicle,Third Party,No,No,Male,36,36 to 40,Married,3,Mazda,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,none,no change,none,0
11365,Friday,2,Oct,1996,Monday,Dec,1,Urban,1 vehicle,Policy Holder,No,No,Male,23,26 to 30,Single,2,Pontiac,Sedan,20000 to 29000,2 years,All Perils,Sedan - All Perils,15,External,400,more than 30,more than 30,none,no change,2 to 4,0
11366,Sunday,4,Jun,1996,Wednesday,Jun,5,Urban,1 vehicle,Policy Holder,No,No,Male,57,51 to 65,Married,1,Toyota,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,2 to 4,0
11367,Friday,4,Jun,1996,Friday,Jun,4,Urban,1 vehicle,Policy Holder,No,No,Male,44,36 to 40,Married,4,Pontiac,Sport,less than 20000,more than 7,Liability,Sedan - Liability,1,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11368,Saturday,5,May,1996,Monday,May,5,Urban,1 vehicle,Policy Holder,No,No,Male,72,over 65,Married,4,Pontiac,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
11369,Friday,2,Apr,1996,Monday,Apr,2,Urban,1 vehicle,Third Party,No,No,Female,35,31 to 35,Single,4,Honda,Sedan,more than 69000,new,All Perils,Sedan - All Perils,7,External,400,more than 30,more than 30,none,no change,1,0
11370,Sunday,3,May,1996,Monday,May,3,Rural,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,1,Accura,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
11371,Friday,5,Apr,1996,Monday,May,1,Urban,1 vehicle,Third Party,No,No,Male,52,41 to 50,Married,2,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,none,no change,1,0
11372,Wednesday,3,Apr,1996,Friday,Apr,4,Urban,1 vehicle,Policy Holder,No,No,Male,36,36 to 40,Married,1,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,13,External,400,more than 30,more than 30,none,no change,1,0
11373,Wednesday,5,Mar,1996,Tuesday,Apr,2,Urban,1 vehicle,Policy Holder,No,No,Female,33,31 to 35,Single,1,Toyota,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,3,External,400,more than 30,more than 30,none,no change,1,0
11374,Saturday,2,Mar,1996,Monday,Mar,3,Urban,1 vehicle,Third Party,No,No,Male,41,36 to 40,Married,1,Honda,Sport,more than 69000,7 years,Collision,Sport - Collision,2,External,500,more than 30,more than 30,none,2 to 3 years,2 to 4,1
11375,Sunday,3,Jan,1996,Wednesday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Female,40,36 to 40,Single,1,Pontiac,Sedan,20000 to 29000,5 years,All Perils,Sedan - All Perils,2,External,400,more than 30,more than 30,3 to 5,no change,none,0
11376,Monday,3,Sep,1996,Wednesday,Sep,3,Urban,1 vehicle,Policy Holder,No,No,Male,46,41 to 50,Married,3,Honda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,none,1 year,none,0
11377,Friday,2,Apr,1996,Friday,Apr,2,Urban,1 vehicle,Third Party,No,No,Male,51,41 to 50,Married,1,Mazda,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,none,no change,1,0
11378,Wednesday,5,Aug,1996,Thursday,Sep,1,Urban,1 vehicle,Policy Holder,No,No,Female,27,31 to 35,Married,4,Toyota,Sport,more than 69000,5 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11379,Sunday,4,Aug,1996,Monday,Aug,5,Urban,1 vehicle,Policy Holder,No,No,Male,46,41 to 50,Married,3,Chevrolet,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
11380,Wednesday,3,Aug,1996,Wednesday,Aug,3,Urban,1 vehicle,Policy Holder,No,No,Male,30,31 to 35,Single,3,Dodge,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,1,External,400,more than 30,more than 30,3 to 5,no change,1,0
11381,Wednesday,3,Mar,1996,Thursday,Mar,4,Urban,1 vehicle,Third Party,No,No,Male,45,36 to 40,Married,2,Toyota,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,16,External,400,more than 30,more than 30,none,no change,1,0
11382,Tuesday,4,Mar,1996,Friday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Male,31,31 to 35,Single,3,Pontiac,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,none,no change,2 to 4,0
11383,Monday,4,Apr,1996,Monday,Apr,4,Urban,2 vehicles,Policy Holder,No,No,Male,68,over 65,Married,3,Toyota,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,more than 5,4 to 8 years,2 to 4,0
11384,Monday,1,May,1996,Monday,May,5,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,3,Honda,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
11385,Sunday,4,May,1996,Friday,May,4,Rural,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Single,1,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,8,External,400,more than 30,more than 30,more than 5,no change,none,0
11386,Friday,2,Jul,1996,Tuesday,Jul,2,Urban,1 vehicle,Policy Holder,No,No,Male,43,36 to 40,Single,1,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
11387,Monday,2,Jul,1996,Tuesday,Jul,2,Urban,1 vehicle,Third Party,No,No,Female,31,31 to 35,Married,4,Mazda,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,2,External,400,more than 30,more than 30,more than 5,no change,none,0
11388,Sunday,4,Sep,1996,Thursday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,29,31 to 35,Single,3,Mazda,Sport,more than 69000,6 years,Collision,Sport - Collision,5,External,400,more than 30,more than 30,none,no change,none,0
11389,Tuesday,3,Oct,1996,Thursday,Nov,2,Urban,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Married,3,VW,Sport,more than 69000,more than 7,Liability,Sedan - Liability,7,External,400,more than 30,more than 30,none,no change,2 to 4,0
11390,Tuesday,4,Oct,1996,Tuesday,Oct,4,Urban,1 vehicle,Policy Holder,No,No,Male,24,26 to 30,Single,3,Toyota,Sedan,20000 to 29000,4 years,Collision,Sedan - Collision,2,External,400,more than 30,more than 30,none,no change,none,0
